#time,accel_x,accel_y,accel_z
2113.332017,-1332.370696,1036.288319,-74004.825107
2113.334468,-444.123565,1776.494261,-73238.729609
2113.336920,0.000000,1184.329507,-73238.729609
2113.339372,444.123565,592.164754,-74158.044206
2113.341823,1628.453072,888.247130,-73545.167808
2113.344275,2072.576638,2220.617826,-73545.167808
2113.346727,-1036.288319,0.000000,-74617.701505
2113.349179,-1184.329507,1036.288319,-74004.825107
2113.351630,-1480.411884,888.247130,-72932.291410
2113.354082,4737.318029,1776.494261,-73085.510509
2113.356534,-740.205942,148.041188,-74004.825107
2113.358986,15100.201217,1924.535449,-72932.291410
2113.361437,12139.377449,-592.164754,-74158.044206
2113.363889,8882.471304,1924.535449,-74464.482406
2113.366341,5921.647536,-592.164754,-75383.797003
2113.368857,296.082377,2072.576638,-71859.757712
2113.371374,888.247130,1776.494261,-73391.948708
2113.373890,3404.947333,444.123565,-74004.825107
2113.376407,592.164754,1480.411884,-73238.729609
2113.378923,2812.782580,1776.494261,-73085.510509
2113.381439,296.082377,1628.453072,-74311.263306
2113.383956,3404.947333,-296.082377,-74158.044206
2113.386472,2960.823768,592.164754,-72625.853210
2113.388989,-2960.823768,888.247130,-73391.948708
2113.391505,-5033.400406,740.205942,-74617.701505
2113.394022,-11399.171507,888.247130,-73391.948708
2113.396538,-5773.606348,2516.700203,-73851.606007
2113.399055,1036.288319,-592.164754,-73851.606007
2113.401571,444.123565,1776.494261,-73391.948708
2113.404088,148.041188,888.247130,-73698.386908
2113.406604,-12731.542202,1036.288319,-74158.044206
2113.409121,-8290.306550,1924.535449,-74617.701505
2113.411637,-12287.418637,1924.535449,-71706.538613
2113.414153,-4885.359217,2516.700203,-72779.072310
2113.416670,5921.647536,1184.329507,-73698.386908
2113.419186,-3404.947333,2072.576638,-73698.386908
2113.421703,148.041188,1036.288319,-73851.606007
2113.424219,-3997.112087,148.041188,-73391.948708
2113.426736,-4737.318029,0.000000,-75077.358804
2113.429252,1480.411884,2664.741391,-71553.319513
2113.431769,148.041188,1184.329507,-73391.948708
2113.434285,444.123565,0.000000,-72625.853210
2113.436802,-2960.823768,3997.112087,-72779.072310
2113.439318,-2072.576638,-148.041188,-73698.386908
2113.441835,-1776.494261,2960.823768,-72319.415011
2113.444351,-8586.388927,-740.205942,-74004.825107
2113.446868,-7402.059420,2516.700203,-73238.729609
2113.449384,-1628.453072,1184.329507,-73238.729609
2113.451900,6513.812290,2220.617826,-74924.139704
2113.454417,9918.759623,-148.041188,-74004.825107
2113.456933,3849.070898,148.041188,-74311.263306
2113.459450,-11547.212695,2368.659014,-72932.291410
2113.461966,-22206.178260,1332.370696,-74158.044206
