#time,accel_x,accel_y,accel_z
1773.656923,1332.370696,2220.617826,-73698.386908
1773.659255,1332.370696,-296.082377,-73698.386908
1773.661587,740.205942,1184.329507,-72932.291410
1773.663920,148.041188,-148.041188,-73851.606007
1773.666252,444.123565,1036.288319,-73545.167808
1773.668584,888.247130,1924.535449,-72625.853210
1773.670916,2220.617826,1332.370696,-73085.510509
1773.673248,2072.576638,1184.329507,-73698.386908
1773.675580,1184.329507,1036.288319,-73851.606007
1773.677912,296.082377,1036.288319,-72779.072310
1773.680244,-296.082377,148.041188,-73391.948708
1773.682577,-444.123565,-740.205942,-74924.139704
1773.684909,-740.205942,1480.411884,-73698.386908
1773.687241,1332.370696,1924.535449,-72779.072310
1773.689573,1776.494261,148.041188,-74004.825107
1773.691905,444.123565,296.082377,-74158.044206
1773.694237,148.041188,1036.288319,-73698.386908
1773.696569,-592.164754,2960.823768,-73391.948708
1773.698902,-1184.329507,-6069.688724,-76456.330700
1773.701234,888.247130,4441.235652,-72319.415011
1773.703566,-148.041188,-8290.306550,-74004.825107
1773.705898,1776.494261,-148.041188,-69867.909418
1773.708230,2516.700203,-11843.295072,-74464.482406
1773.710562,-1776.494261,-5033.400406,-75383.797003
1773.712894,-444.123565,-4145.153275,-76456.330700
1773.715227,444.123565,888.247130,-74464.482406
1773.717559,-1480.411884,2516.700203,-72779.072310
1773.719891,296.082377,-1480.411884,-70174.347617
1773.722223,1776.494261,1480.411884,-73085.510509
1773.724555,3404.947333,-1480.411884,-76149.892501
1773.726887,2960.823768,9918.759623,-73085.510509
1773.729219,-1184.329507,592.164754,-75077.358804
1773.731552,-444.123565,3404.947333,-72166.195912
1773.733979,1332.370696,3552.988522,-70940.443115
1773.736404,3552.988522,6809.894666,-73545.167808
1773.738829,-592.164754,7402.059420,-76456.330700
1773.741254,1776.494261,3552.988522,-75230.577904
1773.743679,2072.576638,740.205942,-72319.415011
1773.746104,592.164754,1332.370696,-71246.881314
1773.748529,-444.123565,3552.988522,-73391.948708
1773.750954,-1480.411884,1628.453072,-76762.768900
1773.753379,1332.370696,11251.130318,-74617.701505
1773.755804,1628.453072,10214.842000,-72012.976812
1773.758228,-592.164754,-1480.411884,-73851.606007
1773.760653,1184.329507,-296.082377,-73851.606007
1773.763078,-444.123565,-4145.153275,-74464.482406
1773.765503,-1036.288319,3552.988522,-74004.825107
1773.767928,-592.164754,5477.523971,-72625.853210
1773.770353,-1332.370696,-2368.659014,-75996.673402
1773.772778,3404.947333,11695.253884,-71400.100414
1773.775203,148.041188,6069.688724,-74311.263306
1773.777628,-2072.576638,10362.883188,-73698.386908
1773.780053,-592.164754,8290.306550,-73851.606007
1773.782478,-444.123565,5329.482782,-72779.072310
1773.784903,-1184.329507,-2072.576638,-74158.044206
1773.787328,148.041188,-1924.535449,-72166.195912
1773.789753,2368.659014,-444.123565,-72625.853210
1773.792178,1184.329507,740.205942,-74311.263306
1773.794603,2220.617826,8586.388927,-73085.510509
1773.797028,1332.370696,12435.459826,-74158.044206
1773.799453,1184.329507,9474.636058,-73238.729609
1773.801878,0.000000,-3701.029710,-73085.510509
1773.804303,1480.411884,1924.535449,-72166.195912
1773.806728,444.123565,1776.494261,-75077.358804
1773.809153,444.123565,-9326.594869,-77222.426198
1773.811578,2812.782580,-12435.459826,-72625.853210
1773.814003,3108.864956,-5921.647536,-68335.718422
1773.816428,-2960.823768,444.123565,-74004.825107
1773.818853,-1184.329507,2812.782580,-78141.740796
1773.821278,-148.041188,10066.800811,-74924.139704
1773.823703,2368.659014,4145.153275,-71093.662214
1773.826128,2368.659014,-11547.212695,-72625.853210
1773.828552,1480.411884,-10066.800811,-71400.100414
1773.831039,1036.288319,-6661.853478,-73391.948708
1773.833526,-1776.494261,-6069.688724,-77375.645298
1773.836013,0.000000,-1628.453072,-76303.111601
1773.838500,-296.082377,1184.329507,-70634.004916
1773.840987,-148.041188,4737.318029,-69101.813920
1773.843474,-888.247130,1184.329507,-74311.263306
1773.845961,1776.494261,2072.576638,-75690.235202
1773.848448,0.000000,-8290.306550,-75537.016103
1773.850935,0.000000,9474.636058,-70480.785816
1773.853422,-2516.700203,-30200.402434,-78754.617194
1773.855909,2072.576638,11399.171507,-68488.937521
1773.858396,1036.288319,-7550.100608,-76149.892501
1773.860883,1332.370696,3256.906145,-74004.825107
1773.863370,2664.741391,1924.535449,-73391.948708
1773.865857,888.247130,-10807.006753,-75996.673402
1773.868344,1776.494261,-2812.782580,-72012.976812
1773.870831,-1036.288319,-16728.654289,-77528.864398
1773.873318,1036.288319,4589.276840,-71553.319513
1773.875805,-1628.453072,-2220.617826,-74617.701505
1773.878292,1924.535449,3701.029710,-74004.825107
1773.880779,1924.535449,2368.659014,-71246.881314
1773.883266,444.123565,-888.247130,-71553.319513
1773.885753,1036.288319,-9622.677246,-74770.920605
1773.888240,-296.082377,-7994.224174,-75690.235202
1773.890727,-592.164754,-3256.906145,-74924.139704
1773.893214,2812.782580,1776.494261,-72779.072310
1773.895701,2664.741391,-1184.329507,-73391.948708
1773.898188,1776.494261,-2220.617826,-71093.662214
1773.900675,1332.370696,3404.947333,-70787.224015
1773.903162,2220.617826,12287.418637,-75690.235202
1773.905649,592.164754,2664.741391,-80746.465489
1773.908136,-1776.494261,444.123565,-72932.291410
1773.910623,-1332.370696,-148.041188,-66343.870127
1773.913110,-592.164754,2368.659014,-71553.319513
1773.915597,1036.288319,7105.977043,-78907.836294
1773.918084,2220.617826,5625.565159,-75690.235202
1773.920571,148.041188,13175.665768,-71400.100414
1773.923058,-2072.576638,-2072.576638,-74004.825107
1773.925545,592.164754,-2368.659014,-71553.319513
1773.928032,296.082377,3849.070898,-71859.757712
1773.930557,-1184.329507,6809.894666,-76915.987999
1773.933083,888.247130,3997.112087,-76456.330700
1773.935608,4293.194464,4737.318029,-71246.881314
1773.938134,2220.617826,592.164754,-69408.252119
1773.940659,-1184.329507,1480.411884,-74004.825107
1773.943185,-592.164754,-2368.659014,-77375.645298
1773.945710,1036.288319,7846.182985,-72932.291410
1773.948236,740.205942,444.123565,-74924.139704
1773.950762,-444.123565,-3404.947333,-73238.729609
1773.953287,3404.947333,-3108.864956,-72779.072310
1773.955813,3256.906145,1480.411884,-74617.701505
1773.958338,-1036.288319,2368.659014,-74311.263306
1773.960864,1924.535449,8882.471304,-73391.948708
1773.963389,-1036.288319,12287.418637,-74770.920605
1773.965915,-444.123565,2812.782580,-76456.330700
1773.968440,2812.782580,7994.224174,-71246.881314
1773.970966,1184.329507,9326.594869,-70480.785816
1773.973491,444.123565,3552.988522,-75383.797003
1773.976017,0.000000,-444.123565,-77222.426198
1773.978543,740.205942,-1332.370696,-73851.606007
