#time,accel_x,accel_y,accel_z
2569.484788,1776.494261,1184.329507,-73851.606007
2569.487318,1036.288319,1628.453072,-74158.044206
2569.489848,740.205942,148.041188,-74004.825107
2569.492378,740.205942,1480.411884,-72932.291410
2569.494909,-296.082377,740.205942,-73545.167808
2569.497439,-592.164754,1036.288319,-74158.044206
2569.499969,888.247130,1332.370696,-73545.167808
2569.502499,2220.617826,1184.329507,-73085.510509
2569.505029,1184.329507,740.205942,-73851.606007
2569.507559,444.123565,740.205942,-74004.825107
2569.510089,148.041188,2812.782580,-72779.072310
2569.512620,1036.288319,592.164754,-73851.606007
2569.515150,-7105.977043,0.000000,-73085.510509
2569.517680,444.123565,2220.617826,-72319.415011
2569.520210,3849.070898,1036.288319,-73698.386908
2569.522740,6069.688724,5329.482782,-73545.167808
2569.525270,8438.347739,2664.741391,-74617.701505
2569.527800,15248.242405,11251.130318,-72779.072310
2569.530331,9474.636058,13175.665768,-75537.016103
2569.532861,-2516.700203,13027.624579,-75383.797003
2569.535391,-14952.160028,1480.411884,-73851.606007
2569.537921,-6217.729913,-148.041188,-69561.471218
2569.540451,8586.388927,-7550.100608,-74770.920605
2569.542981,7105.977043,-8734.430116,-76915.987999
2569.545511,-2516.700203,-6513.812290,-75537.016103
2569.548041,-7402.059420,-3552.988522,-72012.976812
2569.550572,-8438.347739,3552.988522,-73545.167808
2569.553102,-3404.947333,1480.411884,-74464.482406
2569.555632,3997.112087,10214.842000,-72012.976812
2569.558162,3849.070898,5033.400406,-73851.606007
2569.560692,2072.576638,-3404.947333,-76456.330700
2569.563222,-5329.482782,-7402.059420,-71859.757712
2569.565752,-6957.935855,-8290.306550,-70787.224015
2569.568283,-5181.441594,-2516.700203,-73085.510509
2569.570813,2220.617826,3997.112087,-76456.330700
2569.573343,4293.194464,3404.947333,-74311.263306
2569.575873,1184.329507,-3108.864956,-71859.757712
2569.578403,-2072.576638,1036.288319,-70327.566716
2569.580907,1628.453072,-148.041188,-76303.111601
2569.583417,-2072.576638,1480.411884,-77835.302597
2569.585928,-4885.359217,3108.864956,-72625.853210
2569.588439,-2072.576638,-4737.318029,-71093.662214
2569.590950,-7105.977043,-5625.565159,-71859.757712
2569.593461,-5033.400406,-2664.741391,-76456.330700
2569.595972,-5921.647536,-2812.782580,-76303.111601
2569.598482,-3701.029710,-2960.823768,-73698.386908
2569.600993,-740.205942,-4441.235652,-71706.538613
2569.603504,-740.205942,-5625.565159,-71553.319513
2569.606015,2960.823768,3552.988522,-72625.853210
2569.608526,3849.070898,5625.565159,-75537.016103
2569.611037,-9030.512492,1036.288319,-76456.330700
2569.613547,-8142.265362,-3256.906145,-72472.634111
2569.616058,-444.123565,-2960.823768,-70174.347617
2569.618569,6217.729913,-2664.741391,-72319.415011
2569.621080,-2220.617826,-7994.224174,-77069.207099
2569.623591,296.082377,2072.576638,-73545.167808
2569.626102,740.205942,10955.047942,-72319.415011
2569.628612,-1776.494261,-1628.453072,-77222.426198
2569.631123,-148.041188,-1036.288319,-72319.415011
2569.633634,8882.471304,12583.501014,-68488.937521
2569.636145,6365.771101,2664.741391,-80286.808190
2569.638656,888.247130,592.164754,-77988.521696
2569.641166,-592.164754,1332.370696,-69867.909418
2569.643677,1628.453072,1480.411884,-69714.690318
2569.646188,5033.400406,-3552.988522,-77069.207099
2569.648699,2812.782580,4145.153275,-74464.482406
2569.651210,296.082377,10658.965565,-70480.785816
2569.653721,148.041188,5921.647536,-75537.016103
2569.656231,2960.823768,-888.247130,-77375.645298
2569.658742,5329.482782,2960.823768,-69867.909418
2569.661253,3404.947333,3701.029710,-72012.976812
2569.663764,444.123565,444.123565,-77069.207099
2569.666275,-3701.029710,4293.194464,-74924.139704
2569.668786,740.205942,6661.853478,-71706.538613
2569.671296,5921.647536,-2960.823768,-73545.167808
2569.673807,1776.494261,-296.082377,-73085.510509
2569.676318,2516.700203,4145.153275,-71553.319513
2569.678829,296.082377,-2368.659014,-75537.016103
2569.681353,-6365.771101,-444.123565,-76456.330700
2569.683878,1332.370696,4293.194464,-73238.729609
2569.686402,5477.523971,740.205942,-71246.881314
2569.688926,8290.306550,7254.018232,-72932.291410
2569.691451,8586.388927,1628.453072,-75230.577904
2569.693975,4441.235652,12583.501014,-73238.729609
2569.696499,2516.700203,4885.359217,-75230.577904
2569.699024,-1184.329507,6069.688724,-74464.482406
2569.701548,-3108.864956,-3404.947333,-73238.729609
2569.704073,1628.453072,-2220.617826,-71859.757712
2569.706597,10066.800811,3256.906145,-73391.948708
2569.709121,12435.459826,3552.988522,-76303.111601
2569.711646,2072.576638,3701.029710,-74464.482406
2569.714170,-5921.647536,2368.659014,-72012.976812
2569.716694,-1332.370696,7402.059420,-71246.881314
2569.719219,-740.205942,3552.988522,-76149.892501
2569.721743,3404.947333,-2072.576638,-75843.454302
2569.724267,3108.864956,2812.782580,-71706.538613
2569.726792,888.247130,1036.288319,-73698.386908
2569.729316,-8586.388927,-15692.365970,-76456.330700
2569.731841,-6069.688724,-2220.617826,-70174.347617
2569.734365,-888.247130,2516.700203,-71859.757712
2569.736889,1924.535449,-1036.288319,-77375.645298
2569.739414,148.041188,0.000000,-75690.235202
2569.741938,-1332.370696,4293.194464,-67876.061123
2569.744462,-2368.659014,2368.659014,-72166.195912
2569.746987,-1332.370696,-6365.771101,-77528.864398
2569.749511,296.082377,-1036.288319,-74158.044206
2569.752035,-3108.864956,444.123565,-71553.319513
2569.754560,-4885.359217,-7846.182985,-76149.892501
2569.757084,-2220.617826,-4885.359217,-72625.853210
2569.759609,2220.617826,2220.617826,-70480.785816
2569.762133,3997.112087,296.082377,-74617.701505
2569.764657,444.123565,-1480.411884,-76609.549800
2569.767182,-2368.659014,5921.647536,-72625.853210
2569.769706,-1628.453072,296.082377,-72779.072310
2569.772230,-4145.153275,-4885.359217,-75996.673402
2569.774755,296.082377,3404.947333,-73851.606007
2569.777279,6069.688724,3997.112087,-73238.729609
2569.779803,-740.205942,-3404.947333,-75077.358804
2569.782339,-2220.617826,-3108.864956,-74617.701505
2569.784874,-7698.141797,-2368.659014,-70327.566716
2569.787409,-7550.100608,-1776.494261,-73698.386908
2569.789944,-5033.400406,-11547.212695,-75537.016103
2569.792480,-1480.411884,-1480.411884,-72472.634111
2569.795015,1628.453072,-3108.864956,-72319.415011
2569.797550,4441.235652,1776.494261,-74464.482406
2569.800086,-148.041188,2072.576638,-74311.263306
2569.802621,-7698.141797,5181.441594,-72932.291410
2569.805156,-11399.171507,-592.164754,-72779.072310
2569.807691,-592.164754,-592.164754,-74464.482406
2569.810227,6069.688724,-3552.988522,-73851.606007
2569.812762,1184.329507,-6217.729913,-74311.263306
2569.815297,148.041188,-5181.441594,-72166.195912
2569.817832,-888.247130,5329.482782,-72012.976812
2569.820368,-1036.288319,-296.082377,-76456.330700
2569.822903,1628.453072,3849.070898,-75077.358804
2569.825438,10807.006753,15544.324782,-69714.690318
2569.827973,6809.894666,5773.606348,-74617.701505
2569.830509,740.205942,-2220.617826,-76456.330700
2569.833044,-1332.370696,-1924.535449,-72319.415011
2569.835579,1924.535449,5921.647536,-70480.785816
2569.838115,4737.318029,-4589.276840,-77528.864398
2569.840650,5773.606348,2072.576638,-76303.111601
2569.843185,-148.041188,6661.853478,-70021.128517
2569.845720,-148.041188,5477.523971,-73238.729609
2569.848256,2664.741391,3108.864956,-76456.330700
2569.850791,5477.523971,6661.853478,-73238.729609
2569.853326,8142.265362,4293.194464,-72625.853210
2569.855861,4885.359217,-1776.494261,-75383.797003
2569.858397,-592.164754,-148.041188,-74004.825107
2569.860932,-1332.370696,-1776.494261,-72625.853210
2569.863467,1924.535449,6217.729913,-71859.757712
2569.866002,3256.906145,1480.411884,-75537.016103
2569.868538,-592.164754,444.123565,-74004.825107
2569.871073,-2664.741391,2812.782580,-71859.757712
2569.873608,296.082377,-1332.370696,-74004.825107
2569.876143,148.041188,5921.647536,-74004.825107
2569.878679,6069.688724,3108.864956,-74311.263306
2569.881214,10214.842000,9326.594869,-72472.634111
2569.883759,9622.677246,5181.441594,-74311.263306
2569.886303,5181.441594,7994.224174,-74311.263306
2569.888848,-2072.576638,1628.453072,-73391.948708
2569.891393,-4293.194464,1924.535449,-73085.510509
2569.893938,3108.864956,-444.123565,-73698.386908
2569.896482,9326.594869,1628.453072,-74004.825107
2569.899027,13027.624579,3404.947333,-73085.510509
2569.901572,148.041188,2072.576638,-74770.920605
2569.904117,-3701.029710,3997.112087,-71706.538613
2569.906661,-592.164754,8734.430116,-73085.510509
2569.909206,3404.947333,5329.482782,-76303.111601
2569.911751,-1184.329507,-6365.771101,-77069.207099
2569.914295,3997.112087,6069.688724,-69408.252119
2569.916840,-4293.194464,-7994.224174,-74158.044206
2569.919385,-11547.212695,-8290.306550,-75537.016103
2569.921930,-2812.782580,-1332.370696,-72012.976812
2569.924474,1480.411884,888.247130,-72012.976812
2569.927019,3108.864956,-1628.453072,-76762.768900
2569.929564,-444.123565,-296.082377,-74158.044206
2569.932109,-6217.729913,2516.700203,-70021.128517
2569.934653,-2960.823768,1480.411884,-72932.291410
2569.937198,-592.164754,-1480.411884,-77835.302597
2569.939743,1480.411884,-444.123565,-73238.729609
2569.942288,-1480.411884,-4885.359217,-71859.757712
2569.944832,-2664.741391,-7105.977043,-74464.482406
2569.947377,-6957.935855,-3404.947333,-74311.263306
2569.949922,-3256.906145,740.205942,-72932.291410
2569.952466,1480.411884,2516.700203,-74311.263306
2569.955011,-1332.370696,-1184.329507,-74617.701505
2569.957556,1184.329507,3404.947333,-72932.291410
2569.960101,1628.453072,-296.082377,-72319.415011
2569.962645,-2368.659014,-1332.370696,-75690.235202
