#time,accel_x,accel_y,accel_z
2625.079904,296.082377,444.123565,-72932.291410
2625.082484,-296.082377,-148.041188,-73545.167808
2625.085064,-1036.288319,0.000000,-74770.920605
2625.087645,1332.370696,2368.659014,-73238.729609
2625.090225,2516.700203,1332.370696,-73545.167808
2625.092805,1332.370696,1036.288319,-74004.825107
2625.095385,1036.288319,-296.082377,-73851.606007
2625.097965,148.041188,592.164754,-72779.072310
2625.100545,-740.205942,1332.370696,-74004.825107
2625.103126,-296.082377,444.123565,-74464.482406
2625.105706,-296.082377,592.164754,-73851.606007
2625.108286,1332.370696,1924.535449,-72625.853210
2625.110866,1036.288319,-148.041188,-75077.358804
2625.113446,-444.123565,148.041188,-73545.167808
2625.116026,0.000000,1628.453072,-72779.072310
2625.118607,1184.329507,148.041188,-73391.948708
2625.121187,0.000000,1776.494261,-73238.729609
2625.123767,1776.494261,1332.370696,-72779.072310
2625.126347,1480.411884,1924.535449,-73391.948708
2625.128738,148.041188,-444.123565,-74924.139704
2625.131129,740.205942,0.000000,-74311.263306
2625.133520,-888.247130,1332.370696,-72779.072310
2625.135910,0.000000,0.000000,-73851.606007
2625.138301,1480.411884,1628.453072,-73851.606007
2625.140692,1036.288319,740.205942,-73391.948708
2625.143083,1332.370696,1184.329507,-73391.948708
2625.145474,296.082377,-1628.453072,-74464.482406
2625.147865,1036.288319,-296.082377,-73851.606007
2625.150256,-4293.194464,1036.288319,-73391.948708
2625.152646,3849.070898,-592.164754,-74004.825107
2625.155037,740.205942,2220.617826,-72932.291410
2625.157428,888.247130,-888.247130,-72779.072310
2625.159819,9030.512492,888.247130,-72932.291410
2625.162210,10510.924376,-7698.141797,-74924.139704
2625.164601,10510.924376,-8734.430116,-74158.044206
2625.166991,7698.141797,-19541.436869,-72166.195912
2625.169382,-4885.359217,-13027.624579,-72166.195912
2625.171773,-14952.160028,1332.370696,-75383.797003
2625.174164,-3108.864956,10066.800811,-78141.740796
2625.176555,9178.553681,13175.665768,-73851.606007
2625.178946,9918.759623,23834.631332,-67569.622924
2625.181337,-3108.864956,8142.265362,-72166.195912
2625.183727,-11547.212695,-1924.535449,-76149.892501
2625.186118,-5329.482782,-1036.288319,-74617.701505
2625.188509,3404.947333,-6365.771101,-74770.920605
2625.190900,10955.047942,-11695.253884,-74311.263306
2625.193291,6365.771101,-5033.400406,-71400.100414
2625.195682,-4293.194464,9770.718434,-69561.471218
2625.198073,-9474.636058,14508.036463,-76303.111601
2625.200463,-5477.523971,15988.448347,-78448.178995
2625.202854,1332.370696,-296.082377,-75077.358804
2625.205245,6217.729913,-8290.306550,-68335.718422
2625.207636,1480.411884,4441.235652,-71706.538613
2625.210027,-2960.823768,5181.441594,-80440.027290
2625.212418,2664.741391,2072.576638,-78141.740796
2625.214808,-2368.659014,-296.082377,-67722.842023
2625.217199,-2812.782580,-6217.729913,-66190.651027
2625.219590,148.041188,6069.688724,-74311.263306
2625.221981,-6069.688724,3552.988522,-81206.122788
2625.224428,-5329.482782,13471.748144,-74617.701505
2625.226875,-4441.235652,2664.741391,-70174.347617
2625.229322,-5625.565159,444.123565,-71400.100414
2625.231769,-444.123565,-888.247130,-73085.510509
2625.234216,5329.482782,2812.782580,-74770.920605
2625.236663,4293.194464,1628.453072,-77375.645298
2625.239110,-3997.112087,-2072.576638,-76915.987999
2625.241557,-10955.047942,3552.988522,-71093.662214
2625.244004,-7994.224174,6365.771101,-69408.252119
2625.246451,3997.112087,3552.988522,-73085.510509
2625.248898,3256.906145,11843.295072,-75537.016103
2625.251345,-592.164754,11103.089130,-76149.892501
2625.253792,4145.153275,-6217.729913,-76303.111601
2625.256239,2664.741391,-8290.306550,-69867.909418
2625.258686,-4885.359217,-4737.318029,-68182.499322
2625.261132,2960.823768,-5033.400406,-75843.454302
2625.263579,9326.594869,-1332.370696,-78907.836294
2625.266026,1184.329507,11399.171507,-71093.662214
2625.268473,2072.576638,4441.235652,-72472.634111
2625.270920,2516.700203,-11695.253884,-76149.892501
2625.273367,5625.565159,-2664.741391,-69561.471218
2625.275814,4293.194464,2664.741391,-71706.538613
2625.278261,-1628.453072,-2220.617826,-79520.712692
2625.280708,592.164754,-1332.370696,-76762.768900
2625.283155,6217.729913,-4145.153275,-69561.471218
2625.285602,7105.977043,-2368.659014,-68488.937521
2625.288049,5477.523971,-5477.523971,-76149.892501
2625.290496,-1036.288319,2812.782580,-77375.645298
2625.292943,-5329.482782,5625.565159,-75077.358804
2625.295390,4293.194464,-1184.329507,-72779.072310
2625.297837,5477.523971,-5921.647536,-71400.100414
2625.300284,3404.947333,-2664.741391,-72012.976812
2625.302731,148.041188,-1776.494261,-75230.577904
2625.305178,1332.370696,4737.318029,-76456.330700
2625.307625,-1480.411884,2960.823768,-75383.797003
2625.310072,444.123565,-1332.370696,-70634.004916
2625.312519,2664.741391,-1628.453072,-70940.443115
2625.314966,6365.771101,-3256.906145,-73238.729609
2625.317413,6069.688724,4145.153275,-73085.510509
2625.319860,3108.864956,-2812.782580,-74924.139704
2625.322346,3997.112087,-4293.194464,-73545.167808
2625.324831,3404.947333,-9178.553681,-72625.853210
2625.327317,4441.235652,-5921.647536,-71400.100414
2625.329803,5181.441594,-2812.782580,-72932.291410
2625.332289,2072.576638,4737.318029,-75230.577904
2625.334775,-1924.535449,9474.636058,-75537.016103
2625.337261,-888.247130,-740.205942,-74770.920605
2625.339747,7254.018232,-4145.153275,-71400.100414
2625.342233,11399.171507,-4145.153275,-71093.662214
2625.344718,-3701.029710,1332.370696,-74311.263306
2625.347204,-1184.329507,-5773.606348,-79061.055394
2625.349690,592.164754,-740.205942,-73391.948708
2625.352176,-3849.070898,3997.112087,-68795.375720
2625.354662,3256.906145,5181.441594,-72472.634111
2625.357148,3701.029710,-6217.729913,-77835.302597
2625.359634,-2812.782580,15988.448347,-71093.662214
2625.362120,-7846.182985,10807.006753,-74617.701505
2625.364605,-1776.494261,-4885.359217,-78294.959896
2625.367091,-444.123565,148.041188,-68642.156621
2625.369577,-296.082377,740.205942,-68795.375720
2625.372063,-2812.782580,1924.535449,-78141.740796
2625.374549,-3701.029710,4737.318029,-79061.055394
2625.377035,-3552.988522,11695.253884,-71093.662214
2625.379521,888.247130,2220.617826,-72012.976812
2625.382007,1628.453072,-3997.112087,-73545.167808
2625.384492,1480.411884,2960.823768,-72472.634111
2625.386978,-6069.688724,5921.647536,-74617.701505
2625.389464,-8734.430116,4885.359217,-76915.987999
2625.391950,-1480.411884,-148.041188,-74924.139704
2625.394436,2368.659014,1480.411884,-69408.252119
2625.396922,1184.329507,4145.153275,-70021.128517
2625.399408,148.041188,-1036.288319,-76456.330700
2625.401894,3404.947333,2960.823768,-75383.797003
2625.404379,1924.535449,5921.647536,-73238.729609
2625.406865,-592.164754,-5625.565159,-73698.386908
2625.409351,-1036.288319,2368.659014,-72625.853210
2625.411837,-3552.988522,3552.988522,-72625.853210
2625.414323,-7254.018232,8438.347739,-74464.482406
2625.416809,-2664.741391,12583.501014,-74924.139704
2625.419295,2220.617826,5181.441594,-75383.797003
2625.421805,5181.441594,2516.700203,-71246.881314
2625.424317,8290.306550,-4589.276840,-72166.195912
2625.426829,-7698.141797,-2516.700203,-74004.825107
2625.429341,-11547.212695,6957.935855,-75996.673402
2625.431853,-10955.047942,7846.182985,-76456.330700
2625.434365,1332.370696,-1776.494261,-73238.729609
2625.436877,8438.347739,8586.388927,-68182.499322
2625.439389,2220.617826,6513.812290,-72779.072310
2625.441901,-148.041188,-2516.700203,-78448.178995
2625.444413,-592.164754,-2664.741391,-74617.701505
2625.446925,-9474.636058,592.164754,-71706.538613
2625.449437,2516.700203,-6809.894666,-74158.044206
2625.451949,11251.130318,-10510.924376,-74617.701505
2625.454461,4589.276840,3849.070898,-68948.594820
2625.456973,4589.276840,6809.894666,-74311.263306
2625.459485,2072.576638,-4589.276840,-79673.931792
2625.461997,1184.329507,-148.041188,-70174.347617
2625.464509,2072.576638,740.205942,-68948.594820
2625.467021,740.205942,-6661.853478,-77988.521696
2625.469533,2220.617826,-1036.288319,-75383.797003
2625.472045,5033.400406,3256.906145,-71093.662214
2625.474557,8290.306550,-888.247130,-71706.538613
2625.477069,6661.853478,-8290.306550,-75690.235202
2625.479581,296.082377,-2072.576638,-72779.072310
2625.482093,-2960.823768,2960.823768,-72472.634111
2625.484605,1332.370696,296.082377,-76762.768900
2625.487117,2664.741391,-2368.659014,-74617.701505
2625.489629,8438.347739,1628.453072,-69867.909418
2625.492141,2812.782580,2516.700203,-71859.757712
2625.494654,-3404.947333,-5773.606348,-76762.768900
2625.497166,1776.494261,3997.112087,-74158.044206
2625.499678,-6069.688724,1628.453072,-73698.386908
2625.502190,2368.659014,-3552.988522,-74464.482406
2625.504702,7846.182985,1628.453072,-71093.662214
2625.507214,5625.565159,-4441.235652,-73851.606007
2625.509726,8290.306550,-2516.700203,-74770.920605
2625.512238,4885.359217,-6217.729913,-74004.825107
2625.514750,3849.070898,-3256.906145,-71246.881314
2625.517262,296.082377,-5033.400406,-73085.510509
2625.519774,444.123565,1776.494261,-74924.139704
2625.522300,-1924.535449,5625.565159,-73085.510509
2625.524827,9474.636058,5625.565159,-72319.415011
2625.527353,14952.160028,-1332.370696,-73391.948708
2625.529880,-2072.576638,-4885.359217,-73085.510509
2625.532406,-5625.565159,-2220.617826,-74464.482406
2625.534933,-148.041188,-9770.718434,-75843.454302
2625.537460,-2072.576638,5477.523971,-70021.128517
2625.539986,3108.864956,4293.194464,-72779.072310
2625.542513,8142.265362,444.123565,-76456.330700
2625.545039,1628.453072,8438.347739,-72012.976812
2625.547566,-7105.977043,10955.047942,-71093.662214
2625.550092,-7846.182985,2368.659014,-77835.302597
2625.552619,-1036.288319,-3108.864956,-75690.235202
2625.555145,2220.617826,3701.029710,-67263.184724
2625.557672,888.247130,3404.947333,-72625.853210
2625.560198,-4293.194464,-148.041188,-78448.178995
2625.562725,-3997.112087,7254.018232,-74464.482406
2625.565251,-592.164754,6069.688724,-70480.785816
2625.567778,-1332.370696,2516.700203,-73391.948708
2625.570304,-296.082377,-148.041188,-75383.797003
2625.572831,-2516.700203,-296.082377,-74158.044206
2625.575357,-2812.782580,5625.565159,-73238.729609
2625.577884,-592.164754,1480.411884,-76149.892501
2625.580411,-1480.411884,4145.153275,-73545.167808
2625.582937,-2368.659014,-148.041188,-72012.976812
2625.585464,3404.947333,-2960.823768,-73391.948708
2625.587990,-888.247130,3997.112087,-74311.263306
2625.590517,-296.082377,4441.235652,-74311.263306
2625.593043,4885.359217,2960.823768,-74004.825107
2625.595570,-1332.370696,-2220.617826,-73085.510509
2625.598096,-2960.823768,5329.482782,-71093.662214
2625.600623,-7254.018232,10955.047942,-72472.634111
2625.603149,-5329.482782,7550.100608,-76915.987999
2625.605676,1332.370696,4441.235652,-75077.358804
2625.608202,5625.565159,-888.247130,-71093.662214
2625.610729,148.041188,2072.576638,-70327.566716
2625.613255,-7254.018232,1924.535449,-75077.358804
2625.615782,-7402.059420,4441.235652,-75230.577904
2625.618309,0.000000,1776.494261,-73851.606007
2625.620835,2664.741391,5625.565159,-71246.881314
2625.623372,-1480.411884,7105.977043,-73085.510509
2625.625909,3849.070898,-1332.370696,-76149.892501
2625.628445,2516.700203,-1480.411884,-72012.976812
2625.630982,-2664.741391,3256.906145,-71706.538613
2625.633519,3701.029710,-5477.523971,-76149.892501
2625.636056,5921.647536,-11399.171507,-75690.235202
2625.638593,1924.535449,2072.576638,-68642.156621
2625.641129,-2664.741391,1332.370696,-74770.920605
2625.643666,888.247130,-2516.700203,-77988.521696
2625.646203,6513.812290,3256.906145,-69561.471218
2625.648740,5625.565159,1776.494261,-70787.224015
2625.651276,888.247130,-5921.647536,-78141.740796
2625.653813,-2220.617826,-740.205942,-75077.358804
2625.656350,1036.288319,-1036.288319,-71246.881314
2625.658887,4145.153275,-2812.782580,-73085.510509
2625.661424,6513.812290,-6217.729913,-76609.549800
2625.663960,5181.441594,-1332.370696,-71859.757712
2625.666497,-1924.535449,2664.741391,-71246.881314
2625.669034,1776.494261,-888.247130,-76456.330700
2625.671571,-1776.494261,0.000000,-74464.482406
2625.674108,3256.906145,1036.288319,-70940.443115
2625.676644,1628.453072,-2072.576638,-73085.510509
2625.679181,-592.164754,-2220.617826,-75230.577904
2625.681718,3108.864956,4589.276840,-73545.167808
2625.684255,2072.576638,444.123565,-74311.263306
2625.686791,5773.606348,-2072.576638,-73545.167808
2625.689328,7254.018232,-4441.235652,-72166.195912
2625.691865,5921.647536,-3997.112087,-72779.072310
2625.694402,4737.318029,-6069.688724,-75230.577904
2625.696939,2368.659014,-6069.688724,-75383.797003
2625.699475,148.041188,-3552.988522,-72319.415011
2625.702012,296.082377,4145.153275,-71553.319513
2625.704549,148.041188,3256.906145,-75230.577904
