#time,accel_x,accel_y,accel_z
2440.230449,888.247130,1184.329507,-72625.853210
2440.233024,-592.164754,296.082377,-73851.606007
2440.235599,-1332.370696,-148.041188,-74617.701505
2440.238174,-740.205942,592.164754,-74158.044206
2440.240749,592.164754,1924.535449,-72625.853210
2440.243324,444.123565,1776.494261,-73391.948708
2440.245899,1184.329507,592.164754,-73698.386908
2440.248474,888.247130,888.247130,-72779.072310
2440.251049,-1036.288319,592.164754,-73698.386908
2440.253624,-1480.411884,148.041188,-74004.825107
2440.256199,-888.247130,1184.329507,-73545.167808
2440.258774,740.205942,1924.535449,-73391.948708
2440.261349,1628.453072,1332.370696,-73698.386908
2440.263924,1480.411884,1480.411884,-73851.606007
2440.266499,1332.370696,1480.411884,-73391.948708
2440.269074,888.247130,740.205942,-73391.948708
2440.271649,-888.247130,0.000000,-74311.263306
2440.274224,-592.164754,296.082377,-73238.729609
2440.276798,1332.370696,1480.411884,-72779.072310
2440.279373,1924.535449,2220.617826,-73238.729609
2440.281948,1480.411884,444.123565,-73085.510509
2440.284338,1184.329507,1036.288319,-73238.729609
2440.286728,0.000000,296.082377,-74158.044206
2440.289118,-888.247130,0.000000,-75077.358804
2440.291507,-3404.947333,-888.247130,-74158.044206
2440.293897,0.000000,-444.123565,-74158.044206
2440.296287,5329.482782,4293.194464,-74004.825107
2440.298676,740.205942,-444.123565,-74158.044206
2440.301066,4145.153275,296.082377,-72319.415011
2440.303456,2516.700203,-3108.864956,-75383.797003
2440.305846,6513.812290,-1184.329507,-74311.263306
2440.308235,10807.006753,-9030.512492,-73391.948708
2440.310625,8142.265362,-10066.800811,-70787.224015
2440.313015,-740.205942,-10658.965565,-73238.729609
2440.315404,-7402.059420,1036.288319,-75383.797003
2440.317794,-3552.988522,3701.029710,-75996.673402
2440.320184,10214.842000,6069.688724,-73698.386908
2440.322574,5033.400406,11251.130318,-71093.662214
2440.324963,-3997.112087,9622.677246,-72932.291410
2440.327353,-10955.047942,8142.265362,-74158.044206
2440.329743,-6513.812290,-888.247130,-74617.701505
2440.332132,888.247130,-1184.329507,-72779.072310
2440.334522,5921.647536,-7254.018232,-75077.358804
2440.336912,2072.576638,-444.123565,-73545.167808
2440.339302,-5773.606348,3701.029710,-73238.729609
2440.341691,-6069.688724,11399.171507,-73391.948708
2440.344081,-4293.194464,7402.059420,-74004.825107
2440.346471,1776.494261,4589.276840,-72932.291410
2440.348860,888.247130,-3404.947333,-73238.729609
2440.351250,1036.288319,-2220.617826,-74004.825107
2440.353640,740.205942,8142.265362,-74311.263306
2440.356030,-7550.100608,-888.247130,-77835.302597
2440.358419,1924.535449,-2664.741391,-72625.853210
2440.360809,3701.029710,3997.112087,-66956.746525
2440.363199,-1480.411884,444.123565,-75690.235202
2440.365588,888.247130,5921.647536,-78448.178995
2440.367978,-7402.059420,5181.441594,-76149.892501
2440.370368,-3849.070898,3404.947333,-73545.167808
2440.372757,-5773.606348,6661.853478,-70940.443115
2440.375147,-5033.400406,-296.082377,-72625.853210
2440.377537,-1332.370696,7994.224174,-70634.004916
2440.379985,-1184.329507,6661.853478,-75843.454302
2440.382434,2664.741391,740.205942,-76149.892501
2440.384882,740.205942,-2368.659014,-71400.100414
2440.387330,-6809.894666,2072.576638,-71093.662214
2440.389779,-9918.759623,1776.494261,-74924.139704
2440.392227,-740.205942,1036.288319,-75690.235202
2440.394675,6069.688724,7550.100608,-71400.100414
2440.397124,148.041188,11695.253884,-72319.415011
2440.399572,740.205942,592.164754,-77222.426198
2440.402020,-1036.288319,-10362.883188,-74464.482406
2440.404469,-3849.070898,8438.347739,-67876.061123
2440.406917,3701.029710,-3997.112087,-76762.768900
2440.409366,12287.418637,-11547.212695,-78907.836294
2440.411814,8882.471304,2664.741391,-68642.156621
2440.414262,-1628.453072,1480.411884,-71400.100414
2440.416711,-3552.988522,-4145.153275,-78754.617194
2440.419159,-148.041188,-2220.617826,-74617.701505
2440.421607,6809.894666,5477.523971,-69255.033019
2440.424056,3552.988522,3701.029710,-74770.920605
2440.426504,0.000000,-6069.688724,-78754.617194
2440.428952,1776.494261,-148.041188,-68795.375720
2440.431401,4885.359217,-3701.029710,-70634.004916
2440.433849,3256.906145,-5921.647536,-76149.892501
2440.436298,3552.988522,-4293.194464,-75996.673402
2440.438746,740.205942,6809.894666,-70940.443115
2440.441194,-4441.235652,-1036.288319,-74617.701505
2440.443643,1480.411884,-1036.288319,-75537.016103
2440.446091,5477.523971,6365.771101,-70174.347617
2440.448539,592.164754,2664.741391,-72779.072310
2440.450988,444.123565,-9622.677246,-78294.959896
2440.453436,2220.617826,3552.988522,-72932.291410
2440.455884,-3701.029710,4293.194464,-71093.662214
2440.458333,2220.617826,-2516.700203,-74158.044206
2440.460781,2664.741391,-2812.782580,-74464.482406
2440.463229,7254.018232,-3849.070898,-70940.443115
2440.465678,9178.553681,3701.029710,-72779.072310
2440.468126,3849.070898,-10362.883188,-77069.207099
2440.470575,2220.617826,-5477.523971,-72472.634111
2440.473023,1036.288319,-1036.288319,-70327.566716
2440.475471,-2220.617826,1036.288319,-73698.386908
2440.477815,-2368.659014,444.123565,-75077.358804
2440.480172,7994.224174,5477.523971,-73238.729609
2440.482530,10066.800811,740.205942,-72625.853210
2440.484887,4293.194464,-1776.494261,-73545.167808
2440.487245,-4737.318029,-2812.782580,-75537.016103
2440.489602,-592.164754,-4885.359217,-75690.235202
2440.491960,5181.441594,-2220.617826,-70480.785816
2440.494317,2072.576638,4885.359217,-72166.195912
2440.496675,3404.947333,148.041188,-76762.768900
2440.499032,-444.123565,2072.576638,-75383.797003
2440.501390,-10362.883188,13915.871710,-70634.004916
2440.503747,-7402.059420,7994.224174,-74004.825107
2440.506104,2220.617826,-1332.370696,-76456.330700
2440.508462,5773.606348,1776.494261,-70940.443115
2440.510819,-1036.288319,3256.906145,-70634.004916
2440.513177,-6809.894666,-1036.288319,-77528.864398
2440.515534,-6217.729913,-296.082377,-75690.235202
2440.517892,-296.082377,5181.441594,-70174.347617
2440.520249,888.247130,6513.812290,-72625.853210
2440.522607,888.247130,3256.906145,-76149.892501
2440.524964,-3701.029710,8438.347739,-74158.044206
2440.527322,-6661.853478,4737.318029,-72625.853210
2440.529679,-2516.700203,2664.741391,-73085.510509
2440.532037,592.164754,-3108.864956,-74924.139704
2440.534394,4441.235652,1924.535449,-72166.195912
2440.536752,-2664.741391,-1184.329507,-74158.044206
2440.539109,-148.041188,1332.370696,-75690.235202
2440.541467,-148.041188,8882.471304,-72166.195912
2440.543824,-1480.411884,-1184.329507,-72779.072310
2440.546182,3552.988522,-2220.617826,-72779.072310
2440.548539,-2664.741391,3256.906145,-74004.825107
2440.550897,-296.082377,4145.153275,-74770.920605
2440.553254,-6365.771101,7402.059420,-74158.044206
2440.555612,-7846.182985,2664.741391,-74770.920605
2440.557969,-2220.617826,7402.059420,-71706.538613
2440.560327,-888.247130,3256.906145,-73545.167808
2440.562684,1628.453072,7105.977043,-74158.044206
2440.565042,2368.659014,-1332.370696,-75537.016103
2440.567399,1924.535449,2516.700203,-73391.948708
2440.569757,-9326.594869,-296.082377,-73545.167808
2440.572185,-8586.388927,2960.823768,-73698.386908
2440.574613,-1628.453072,-888.247130,-74158.044206
2440.577041,6957.935855,4441.235652,-70327.566716
2440.579469,-1332.370696,11843.295072,-73238.729609
2440.581897,-2664.741391,3404.947333,-78601.398095
2440.584325,-3849.070898,-5181.441594,-75383.797003
2440.586753,-3108.864956,3849.070898,-67876.061123
2440.589181,4145.153275,-3552.988522,-72472.634111
2440.591609,13471.748144,-13619.789333,-77528.864398
2440.594037,7254.018232,-2812.782580,-71400.100414
2440.596465,-1776.494261,3997.112087,-70940.443115
