#time,accel_x,accel_y,accel_z
2754.334958,592.164754,2072.576638,-73698.386908
2754.337525,592.164754,1036.288319,-73698.386908
2754.340092,1776.494261,1332.370696,-73238.729609
2754.342658,444.123565,444.123565,-73545.167808
2754.345225,296.082377,-148.041188,-74004.825107
2754.347792,296.082377,592.164754,-73238.729609
2754.350359,-444.123565,-296.082377,-73698.386908
2754.352925,-592.164754,1184.329507,-73851.606007
2754.355492,0.000000,1776.494261,-73238.729609
2754.358059,1480.411884,888.247130,-73391.948708
2754.360625,888.247130,444.123565,-74311.263306
2754.363192,444.123565,-296.082377,-74004.825107
2754.365759,0.000000,-2664.741391,-73851.606007
2754.368325,2960.823768,2664.741391,-72625.853210
2754.370892,1036.288319,-296.082377,-74311.263306
2754.373459,-888.247130,1184.329507,-74158.044206
2754.376026,3256.906145,1184.329507,-73698.386908
2754.378592,8142.265362,5033.400406,-73545.167808
2754.381159,10658.965565,3256.906145,-74004.825107
2754.383726,8290.306550,11843.295072,-72472.634111
2754.386292,4441.235652,9622.677246,-74924.139704
2754.388859,-1628.453072,13175.665768,-74617.701505
2754.391426,-1480.411884,7105.977043,-73851.606007
2754.393993,-3997.112087,-3997.112087,-71246.881314
2754.396559,148.041188,-9326.594869,-70940.443115
2754.399126,3404.947333,-10955.047942,-74770.920605
2754.401693,3404.947333,-8438.347739,-75996.673402
2754.404259,-444.123565,-3552.988522,-75077.358804
2754.406826,-7550.100608,1628.453072,-71859.757712
2754.409393,-7105.977043,2516.700203,-71706.538613
2754.411960,1628.453072,7550.100608,-73085.510509
2754.414526,6513.812290,7254.018232,-75383.797003
2754.417093,8142.265362,1184.329507,-75077.358804
2754.419660,-2072.576638,-8734.430116,-74617.701505
2754.422226,-11991.336260,-9178.553681,-71246.881314
2754.424794,-7105.977043,-6661.853478,-72472.634111
2754.427362,-444.123565,0.000000,-74311.263306
2754.429929,2516.700203,2812.782580,-76149.892501
2754.432497,2812.782580,-1184.329507,-73391.948708
2754.435064,1036.288319,-2516.700203,-70480.785816
2754.437632,-2220.617826,1332.370696,-73238.729609
2754.440199,2812.782580,-2072.576638,-78448.178995
2754.442767,-3108.864956,2072.576638,-75537.016103
